time,x,y,z
00:13.2,-0.97,-1.43,0.57
00:13.2,-0.97,-1.43,0.57
00:13.2,-0.83,-1.84,0.05
00:13.2,-0.72,-2.01,-0.17
00:13.2,-0.69,-2.01,-0.37
00:13.2,0.4,-2.03,-1.67
00:13.2,0.4,-2.03,-1.67
00:13.2,0.45,-1.66,-1.46
00:13.2,0.15,-1.38,-1.56
00:13.2,0.21,-0.77,-0.48
00:13.2,0.24,0.47,0
00:13.2,0.24,0.47,0
00:13.3,0.46,0.97,-0.18
00:13.3,0.86,1.28,-0.52
00:13.3,1.09,1.61,-0.63
00:13.3,1.09,1.61,-0.63
00:13.3,1.49,2.02,-0.89
00:13.3,1.29,1.93,-0.84
00:13.3,1.17,1.64,-0.82
00:13.3,1.01,1.3,-0.72
00:13.3,1.01,1.3,-0.72
00:13.3,0.04,-0.35,-0.38
00:13.3,-0.27,-1.18,-0.45
00:13.3,-0.33,-1.37,-0.36
00:13.3,-0.45,-1.41,-0.22
00:13.4,-0.45,-1.41,-0.22
00:13.4,-0.24,-1.5,-0.48
00:13.4,-0.07,-1.17,-0.41
00:13.4,0.09,-0.75,-0.4
00:13.4,0.29,-0.59,-0.57
00:13.4,0.29,-0.59,-0.57
00:13.4,0.45,-0.69,-0.87
00:13.4,0.55,-0.56,-0.76
00:13.4,0.4,-0.49,-0.46
00:13.4,0.39,-0.28,-0.24
00:13.4,0.39,-0.28,-0.24
00:13.4,0.64,-0.13,-0.35
00:13.4,0.8,-0.02,-0.42
00:13.4,0.95,-0.07,-0.67
00:13.4,0.95,-0.07,-0.67
00:13.5,0.47,-0.19,0.05
00:13.5,0.09,-0.54,0.26
00:13.5,-0.22,-0.82,0.45
00:13.5,-0.33,-1.02,0.55
00:13.5,-0.33,-1.02,0.55
00:13.5,-0.3,-1.56,0.09
00:13.5,-0.08,-1.05,0.29
00:13.5,0.14,-0.53,0.32
00:13.6,0.27,-0.07,0.17
00:13.6,0.27,-0.07,0.17
00:13.6,0.88,1.19,0.01
00:13.6,1.22,1.62,-0.18
00:13.6,1.61,1.91,-0.55
00:13.6,1.61,1.91,-0.55
00:13.6,1.73,2.16,-0.47
00:13.6,1.19,1.16,-0.6
00:13.6,0.87,0.59,-0.47
00:13.6,0.49,0.03,-0.43
00:13.6,0.49,0.03,-0.43
00:13.6,0.31,-0.58,-0.46
00:13.6,-0.31,-2.06,-0.62
00:13.6,-0.41,-2.22,-0.64
00:13.6,-0.32,-1.8,-0.34
00:13.7,-0.32,-1.8,-0.34
00:13.7,0.22,-1.04,-0.36
00:13.7,0.58,-0.4,-0.54
00:13.7,0.86,0.16,-0.45
00:13.7,0.99,0.57,-0.33
00:13.7,0.99,0.57,-0.33
00:13.7,1.61,1.42,-0.49
00:13.7,1.76,1.96,-0.38
00:13.7,1.66,2.05,-0.25
00:13.7,1.63,1.89,-0.13
00:13.7,1.63,1.89,-0.13
00:13.7,0.73,0.7,0.39
00:13.7,-0.01,-0.27,0.57
00:13.7,-0.19,-1.26,0.2
00:13.8,-0.19,-1.26,0.2
00:13.8,-0.38,-1.9,-0.17
00:13.8,-0.18,-2.33,-0.58
00:13.8,-0.12,-2.22,-0.86
00:13.8,0.09,-1.79,-0.84
00:13.8,0.09,-1.79,-0.84
00:13.8,0.4,-1.08,-0.5
00:13.8,0.76,-0.27,-0.23
00:13.8,1.05,0.08,-0.09
00:13.8,0.89,0.47,-0.56
00:13.8,0.89,0.47,-0.56
00:13.8,1.07,0.9,-0.14
00:13.8,1.02,1.45,0.28
00:13.8,1.19,1.55,0.48
00:13.9,1.19,1.55,0.48
00:13.9,0.97,1.3,0.07
00:13.9,1.04,1.13,0.03
00:13.9,0.48,0.49,0.15
00:13.9,0.31,-0.04,-0.08
00:13.9,0.31,-0.04,-0.08
00:13.9,0.24,-0.74,-0.47
00:13.9,0.47,-1.4,-1.23
00:14.0,0.32,-1.25,-0.84
00:14.0,0.08,-1.28,-0.61
00:14.0,0.08,-1.28,-0.61
00:14.0,0.16,-1.07,-0.51
00:14.0,0.45,-0.29,-0.41
00:14.0,0.64,-0.1,-0.57
00:14.0,0.82,0.18,-0.61
00:14.0,0.82,0.18,-0.61
00:14.0,1.13,0.63,-0.52
00:14.0,1.25,1.49,-0.06
00:14.0,1.35,1.56,-0.13
00:14.0,1.19,1.37,-0.21
00:14.0,1.19,1.37,-0.21
00:14.0,1.04,1.19,-0.23
00:14.0,0.89,0.87,-0.02
00:14.1,0.66,0.52,0.08
00:14.1,0.66,0.52,0.08
00:14.1,0.37,0.03,-0.03
00:14.1,0.24,-0.33,-0.12
00:14.1,0.18,-0.62,-0.3
00:14.1,0.31,-0.34,-0.35
00:14.1,0.31,-0.34,-0.35
00:14.1,0.37,-0.12,-0.38
00:14.1,0.81,0.32,-0.44
00:14.1,1.09,0.24,-0.77
00:14.1,0.82,0.21,-0.48
00:14.1,0.82,0.21,-0.48
00:14.1,0.63,-0.12,-0.49
00:14.1,0.58,-0.32,-0.17
00:14.2,-0.29,-1.4,-0.09
00:14.2,-0.29,-1.4,-0.09
00:14.2,-0.31,-1.27,0.02
00:14.2,0.11,-0.82,0.12
00:14.2,0.3,-0.38,-0.02
00:14.2,0.6,-0.69,-0.61
00:14.2,0.6,-0.69,-0.61
00:14.2,0.66,-0.74,-0.68
00:14.2,0.44,-0.79,-0.44
00:14.3,0.2,-0.94,-0.71
00:14.3,0.45,-0.38,-0.32
00:14.3,0.45,-0.38,-0.32
00:14.3,0.71,0.16,-0.11
00:14.3,0.81,0.6,-0.08
00:14.3,1.36,1.86,-0.12
00:14.3,1.59,2.11,-0.23
00:14.3,1.59,2.11,-0.23
00:14.3,1.71,2,-0.47
00:14.3,1.62,1.87,-0.7
00:14.3,1.59,1.61,-0.85
00:14.3,1.51,1.64,-0.56
00:14.3,1.51,1.64,-0.56
00:14.3,1.16,1.32,-0.06
00:14.3,0.44,0.47,0.13
00:14.4,0.16,-0.62,-0.12
00:14.4,0.16,-0.62,-0.12
00:14.4,-0.14,-1.06,-0.22
00:14.4,-0.22,-1.4,-0.24
00:14.4,-0.4,-1.84,-0.58
00:14.4,-0.42,-2,-0.8
00:14.4,-0.42,-2,-0.8
00:14.4,-0.09,-1.31,-0.46
00:14.4,0.36,-0.71,-0.35
00:14.4,0.49,-0.36,-0.3
00:14.4,0.49,-0.03,-0.68
00:14.4,0.49,-0.03,-0.68
00:14.4,0.8,0.2,-0.46
00:14.4,1.28,0.76,-0.67
00:14.5,1.58,1.84,-0.3
00:14.5,1.62,2.13,-0.2
00:14.5,1.62,2.13,-0.2
00:14.5,1.53,2.32,-0.02
00:14.5,1.41,2.31,-0.02
00:14.5,1.62,1.66,-0.64
00:14.5,1.62,1.66,-0.64
00:14.5,1.49,1.15,-0.72
00:14.5,1.03,0.63,-0.32
00:14.6,0.38,-0.41,-0.13
00:14.6,-0.86,-2.13,0.08
00:14.6,-0.86,-2.13,0.08
00:14.6,-1.07,-2.42,0.52
00:14.6,-1.21,-2.49,0.2
00:14.6,-0.64,-2.08,0.69
00:14.6,-0.04,-1.5,0.1
00:14.6,-0.04,-1.5,0.1
00:14.6,0.18,-1.16,0
00:14.6,0.35,-0.84,-0.42
00:14.6,0.64,-0.34,-0.95
00:14.6,0.64,-0.34,-0.95
00:14.6,1.72,1.21,-0.81
00:14.6,2,1.82,-0.89
00:14.6,1.98,2.16,-0.79
00:14.7,1.94,2.43,-0.64
00:14.7,1.94,2.43,-0.64
00:14.7,1.54,2.17,-0.14
00:14.7,1.26,1.68,-0.18
00:14.7,0.94,1.08,-0.25
00:14.7,0.75,0.86,-0.2
00:14.7,0.75,0.86,-0.2
00:14.7,0.33,-0.17,-0.05
00:14.7,0.34,-0.78,-0.62
00:14.7,0.31,-0.97,-0.49
00:14.7,0.21,-0.86,-0.15
00:14.7,0.21,-0.86,-0.15
00:14.7,0.16,-0.7,-0.02
00:14.8,0.29,-0.71,0
00:14.8,0.29,-0.87,-0.36
00:14.8,0.29,-0.87,-0.36
00:14.8,0.65,-0.71,-0.42
00:14.8,0.7,-0.49,-0.37
00:14.8,0.62,-0.29,-0.26
00:14.8,0.9,-0.03,-0.35
00:14.8,0.9,-0.03,-0.35
00:14.8,0.95,0.25,-0.42
00:14.8,0.78,0.25,-0.17
00:14.8,0.62,0.16,-0.06
00:14.8,0.48,0.05,0.04
00:14.8,0.48,0.05,0.04
00:14.8,0.24,-0.39,0.38
00:14.9,0.05,-0.76,0.36
00:14.9,-0.12,-1.1,0.23
00:14.9,-0.19,-1.27,0.02
00:14.9,-0.19,-1.27,0.02
00:14.9,-0.27,-1.17,-0.01
00:14.9,0.29,-1.22,-0.54
00:14.9,0.25,-1.1,-0.63
00:14.9,0.25,-1.1,-0.63
00:14.9,0.34,-0.89,-0.58
00:15.0,0.28,-0.27,-0.3
00:15.0,0.52,-0.05,-0.6
00:15.0,1.16,0.82,-0.62
00:15.0,1.16,0.82,-0.62
00:15.0,1.74,1.67,-0.68
00:15.0,2.08,2.41,-0.75
00:15.0,1.93,2.23,-0.95
00:15.0,1.89,2.01,-1.05
00:15.0,1.89,2.01,-1.05
00:15.0,1.37,1.56,-0.46
00:15.0,1.26,1.43,-0.07
00:15.0,0.78,0.73,0.03
00:15.0,0.18,0.08,0
00:15.0,0.18,0.08,0
00:15.1,0.08,-0.71,-0.07
00:15.1,0.1,-0.97,-0.16
00:15.1,0.15,-1.25,-0.37
00:15.1,0.15,-1.25,-0.37
00:15.1,0.22,-1.28,-0.39
00:15.1,-0.34,-1.56,0.01
00:15.1,-0.6,-1.79,0.01
00:15.1,-0.4,-1.83,0.35
00:15.1,-0.4,-1.83,0.35
00:15.1,-0.61,-1.82,0.18
00:15.1,-0.37,-1.83,0.32
00:15.1,-0.4,-1.87,0.37
00:15.1,-0.36,-1.8,-0.06
00:15.1,-0.36,-1.8,-0.06
00:15.2,0.09,-1.27,0.21
00:15.2,0.86,0.09,-0.15
00:15.2,1.63,0.95,-0.76
00:15.2,2.17,1.76,-1.21
00:15.2,2.17,1.76,-1.21
00:15.2,2.69,2.63,-1.23
00:15.2,2.38,2.89,-0.74
00:15.2,1.87,2.29,-0.63
00:15.2,1.87,2.29,-0.63
00:15.2,1.55,1.79,-0.63
00:15.2,1.5,1.6,-0.47
00:15.2,0.72,0.52,-0.01
00:15.2,0.3,-0.14,0.14
00:15.3,0.3,-0.14,0.14
00:15.3,0.02,-0.68,0.2
00:15.3,-0.39,-1.1,0.4
00:15.3,-1.04,-2.18,0.4
00:15.3,-1.31,-2.74,0.19
00:15.3,-1.31,-2.74,0.19
00:15.3,-1.13,-2.87,-0.24
00:15.3,-0.16,-1.62,-0.18
00:15.3,0,-1.52,-0.3
00:15.3,0.1,-1.34,-0.26
00:15.3,0.1,-1.34,-0.26
00:15.3,0.36,-0.9,-0.82
00:15.3,1.25,0.69,-0.32
00:15.4,1.44,1.18,-0.47
00:15.4,1.44,1.18,-0.47
00:15.4,1.79,1.71,-0.56
00:15.4,2.1,2.17,-0.72
00:15.4,2.26,2.32,-0.87
00:15.4,2.05,2.19,-0.78
00:15.4,2.05,2.19,-0.78
00:15.4,2.04,2.28,-0.56
00:15.4,1.63,1.78,-0.3
00:15.4,0.38,0.19,0.16
00:15.5,-0.11,-0.59,0.22
00:15.5,-0.11,-0.59,0.22
00:15.5,-0.29,-1.72,0.17
00:15.5,-0.8,-2.39,0.21
00:15.5,-1.5,-3.21,0.26
00:15.5,-1.26,-2.9,0.16
00:15.5,-1.26,-2.9,0.16
00:15.5,-0.77,-2.18,0.33
00:15.5,-0.35,-1.81,-0.08
00:15.5,0.34,-1.11,-0.48
00:15.5,0.85,-0.27,-0.14
00:15.5,0.85,-0.27,-0.14
00:15.5,1.14,0.21,-1.18
00:15.5,1.76,0.91,-0.85
00:15.6,2,1.73,-0.95
00:15.6,2,1.73,-0.95
00:15.6,1.96,2.02,-0.79
00:15.6,1.95,2.08,-0.74
00:15.6,1.55,1.59,-0.49
00:15.6,1.33,1.37,-0.34
00:15.6,1.33,1.37,-0.34
00:15.6,1.14,0.97,-0.29
00:15.6,0.79,0.43,-0.21
00:15.6,0.43,-0.13,-0.02
00:15.6,0.2,-0.23,0.32
00:15.6,0.2,-0.23,0.32
00:15.6,0.11,-0.69,0.26
00:15.7,-0.19,-1.27,0.06
00:15.7,-0.69,-2.19,-0.1
00:15.7,-0.69,-2.19,-0.1
00:15.7,-0.66,-2.07,0.05
00:15.7,-0.32,-1.7,0.3
00:15.7,-0.2,-1.41,0.35
00:15.7,-0.13,-1.3,0.16
00:15.7,-0.13,-1.3,0.16
00:15.7,0.22,-0.92,0.29
00:15.7,0.4,-0.37,-0.32
00:15.7,0.74,0.02,-0.33
00:15.7,1.32,0.73,-0.6
00:15.7,1.32,0.73,-0.6
00:15.7,1.4,1.01,-0.58
00:15.8,1.37,1.29,-0.57
00:15.8,1.61,1.79,-0.42
00:15.8,1.76,2.26,-0.19
00:15.8,1.76,2.26,-0.19
00:15.8,1.7,2.11,-0.3
00:15.8,1.64,1.76,-0.59
00:15.8,1.58,1.6,-0.62
00:15.8,1.46,1.25,-0.41
00:15.8,1.46,1.25,-0.41
00:15.8,0.95,0.79,-0.06
00:15.9,0.22,0.04,0.22
00:15.9,-0.48,-1.59,-0.09
00:15.9,-0.28,-1.97,-0.29
00:15.9,-0.28,-1.97,-0.29
00:15.9,-0.85,-2.43,-0.35
00:15.9,-0.94,-2.79,0.27
00:15.9,-0.46,-2.46,-0.21
00:15.9,-0.46,-2.46,-0.21
00:15.9,-0.42,-1.95,-0.31
00:15.9,-0.31,-1.81,-0.39
00:15.9,0.16,-1.28,-0.35
00:15.9,0.71,0.01,-0.09
00:15.9,0.71,0.01,-0.09
00:15.9,0.9,0.53,-0.11
00:16.0,0.84,0.62,-0.2
00:16.0,1.14,0.71,-0.46
00:16.0,1.62,1.32,-0.74
00:16.0,1.62,1.32,-0.74
